Lat,Long,cat2,x,Start
39.14573436,-77.20378185,29,0,12/18/14
39.06351047,-77.07238775,6,0,12/18/14
39.17484824,-77.26641164,29,0,12/18/14
39.02197521,-77.14664246,6,0,12/18/14
39.05847592,-77.12640626,6,0,12/18/14
39.07324554,-77.00270037,14,0,12/18/14
39.14911551,-77.01764888,29,0,12/18/14
39.18697424,-77.31743331,2942,0,12/18/14
39.17453557,-77.20366554,6,0,12/18/14
39.19841751,-77.24491824,27,0,12/18/14
38.99127846,-77.01355408,5,0,12/19/14
39.05557888,-77.14941251,28,0,12/19/14
39.03738588,-77.05163598,6,0,12/19/14
39.07261877,-77.13367225,15,0,12/19/14
39.08327275,-76.94235603,29,0,12/19/14
39.11326965,-77.18654798,6,0,12/19/14
39.1164052,-77.20232648,5,0,12/19/14
38.99843827,-77.0287483,22,0,12/19/14
39.20332881,-77.2457449,14,0,12/19/14
39.13196003,-77.18870374,27,0,12/19/14
39.17518476,-77.07481975,14,0,12/19/14
39.18346167,-77.27761932,14,0,12/19/14
39.17420317,-77.20219228,2942,0,12/19/14
39.04310642,-77.05317065,28,0,12/19/14
39.17715052,-77.28325279,6,0,12/20/14
39.07693623,-77.12224088,24,0,12/20/14
39.00127006,-76.98709329,28,0,12/20/14
38.99957209,-77.09690913,28,0,12/20/14
39.15910783,-77.03399143,10,0,12/20/14
39.17484824,-77.26641164,6,0,12/20/14
39.06312687,-77.19304911,12,0,12/20/14
39.15724926,-77.2054626,2941,0,12/20/14
38.99959218,-76.99537268,14,0,12/20/14
38.99454518,-77.02803668,18,0,12/20/14
39.17926109,-77.28980466,14,0,12/20/14
39.17799335,-77.29467602,6,0,12/20/14
39.0526766,-77.0510592,18,0,12/20/14
39.23191114,-77.24563264,6,0,12/21/14
39.00769069,-77.02008358,28,0,12/21/14
39.13417701,-77.20411209,28,0,12/21/14
39.04012149,-77.0513237,6,0,12/21/14
39.17256333,-77.24362399,2941,0,12/21/14
39.05269731,-76.95317842,29,0,12/21/14
39.12089086,-77.23558093,14,0,12/21/14
39.03998562,-77.05985383,18,0,12/21/14
39.20554786,-77.2635941,2942,0,12/21/14
38.99770109,-77.02699356,2942,0,12/21/14
39.12418408,-77.22352862,6,0,12/22/14
39.19841751,-77.24491824,6,0,12/22/14
39.14218183,-77.19335601,2941,0,12/22/14
39.06685767,-77.08858128,10,0,12/22/14
39.14573436,-77.20378185,6,0,12/22/14
39.03738588,-77.05163598,2941,0,12/22/14
39.08477213,-77.11829958,14,0,12/23/14
39.18472143,-77.09053748,6,0,12/23/14
39.15067674,-77.20405895,6,0,12/23/14
39.17543931,-77.2943279,14,0,12/23/14
39.04211706,-77.0435486,6,0,12/23/14
38.98600848,-77.10099276,6,0,12/23/14
39.18458214,-77.2723817,29,0,12/23/14
